Entidad,Cargo,Finaliza,Grado
 SENCICO,,  07/12/2021 , Egresado de Computación e Informática  
 UNIVERSIDAD CIRO ALEGRÍA," Turismo sostenible, Turismo rural comunitario, Otros",  08/12/2021 , Título profesional de Licenciando en Turismo o
 UNIVERSIDAD CIRO ALEGRÍA," Fundamentos de la gastronomía, Gastronomía peruana, Otros",  08/12/2021 , Título profesional de Licenciando en Turismo o
 UNIVERSIDAD CIRO ALEGRÍA," Investigación de mercados turísticos, Otros",  08/12/2021 , Título profesional de Licenciando en Turismo o
 UNIVERSIDAD CIRO ALEGRÍA, Taller de Comunicación,  08/12/2021 , Título profesional de Licenciado en Educación con
 UNIVERSIDAD CIRO ALEGRÍA, Estadística Descriptiva,  08/12/2021 , Título profesional de Licenciado en Estadística o
 UNIVERSIDAD CIRO ALEGRÍA," Hidrología aplicada, Ingeniería de riegos I, Otros",  08/12/2021 , Título profesional de Ingeniero agrícola.  
 UNIVERSIDAD CIRO ALEGRÍA," Introducción a la ingeniería agrícola y forestal, otros",  08/12/2021 , Título profesional de Ingeniero forestal  
 UNIVERSIDAD CIRO ALEGRÍA," Mecanización Agrícola, Diseño de estructuras hidráulicas I, otros",  08/12/2021 , Título profesional de Ingeniero agrícola  
 UNIVERSIDAD CIRO ALEGRÍA," Ingeniería de Carreteras I, Planificación del transporte, otros",  08/12/2021 , Título profesional de Ingeniero Civil  
 UNIVERSIDAD CIRO ALEGRÍA," Tecnología de la construcción, Construcciones y edificaciones, otros",  08/12/2021 , Título profesional de Ingeniero Civil  
 UNIVERSIDAD CIRO ALEGRÍA," Resistencia de materiales I, Mecánica de suelos II, Otros",  08/12/2021 , Título profesional de Ingeniero Civil  
 SAT TRUJILLO, AUXILIAR DE ATENCIÓN Y ORIENTACIÓN AL CONTRIBUYENTE,  30/11/2021 ," Bachiller En derecho, Contabilidad, Administración o"
 SAT TRUJILLO, AUXILIAR DE MESA DE PARTES,  30/11/2021 ," Bachiller En derecho, Contabilidad, Administración o"
 SAT TRUJILLO, FISCALIZADOR,  30/11/2021 ," Egresado Universitario en En ingeniería civil, arquitectura, contabilidad"
 MINISTERIO PÚBLICO - FISCALÍA, ASISTENTE EN FUNCIÓN FISCAL,  30/11/2021 , Bachiller Universitario en Derecho  
 UNIVERSIDAD DE TRUJILLO, COMUNICACIÓN PUBLICITARIA Y DE MARKETING,  03/12/2021 , Título Profesional de Licenciado en Ciencias de la Comunicación o
 UNIVERSIDAD DE TRUJILLO, PROCESOS Y TECNOLOGÍA,  03/12/2021 , Título Profesional de Ingeniero Químico  
 UNIVERSIDAD DE TRUJILLO, HISTORIA,  03/12/2021 , Título Profesional de Licenciado en Historia.  
 UNIVERSIDAD DE TRUJILLO, DERECHO PENAL Y DERECHO PROCESAL PENAL,  03/12/2021 , Título Profesional de Abogado.  
 UNIVERSIDAD DE TRUJILLO, DERECHO PENAL Y DERECHO PROCESAL PENAL,  03/12/2021 , Título Profesional de Abogado.  
 UNIVERSIDAD DE TRUJILLO," DERECHO CIVIL, DERECHO COMERCIAL Y DERECHO EMPRESARIAL",  03/12/2021 , Título Profesional de Abogado.  
 UNIVERSIDAD DE TRUJILLO, DERECHO CONSTITUCIONAL Y DERECHO PROCESAL CONSTITUCIONAL,  03/12/2021 , Título Profesional de Abogado.  
 UNIVERSIDAD DE TRUJILLO," DERECHO CIVIL, DERECHO COMERCIAL Y DERECHO PROCESAL CIVIL",  03/12/2021 , Título Profesional de Abogado.  
 UNIVERSIDAD DE TRUJILLO, POLITICAS PÚBLICAS Y GOBIERNO,  03/12/2021 , Título Profesional de Abogado.  
 UNIVERSIDAD DE TRUJILLO," GESTIÓN PÚBLICA, POTESTAD SANCIONADORA Y DERECHO INTERNACIONAL PÚBLICO",  03/12/2021 , Título Profesional de Abogado.  
 UNIVERSIDAD DE TRUJILLO, DERECHO CONSTITUCIONAL Y DERECHOS HUMANOS,  03/12/2021 , Título Profesional de Abogado o Politólogo.  
 UNIVERSIDAD DE TRUJILLO, TEORÍA DEL PODER POLÍTICO,  03/12/2021 , Título Profesional de Abogado o Politólogo.  
 UNIVERSIDAD DE TRUJILLO," METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA, SOCIOLOGÍA, CONFLICTOS SOCIALES",  03/12/2021 , Título Profesional de Abogado o Antropólogo.  
 UNIVERSIDAD DE TRUJILLO, SALUD FAMILIAR Y COMUNITARIA,  03/12/2021 , Título Profesional de Licenciada en Enfermería.  
 UNIVERSIDAD DE TRUJILLO," MUJER, NIÑO Y ADOLESCENTE",  03/12/2021 , Título Profesional de Licenciada en Enfermería.  
 UNIVERSIDAD DE TRUJILLO, CIENCIAS DE LA VIDA,  03/12/2021 , Título Profesional de Enfermería.  
 UNIVERSIDAD DE TRUJILLO, INGENIERÍA AGROINDUSTRIAL,  03/12/2021 , Título Profesional de Ingeniero Agroindustrial.  
 UNIVERSIDAD DE TRUJILLO, BIOTECNOLOGÍA VEGETAL,  03/12/2021 , Título Profesional de Ingeniero Agrónomo.  
 UNIVERSIDAD DE TRUJILLO, ESTADÍSTICA,  03/12/2021 , Título Profesional de Licenciado en Estadística o Ingeniero Estadístico.  
 UNIVERSIDAD DE TRUJILLO, FÍSICA COMPUTACIONAL,  03/12/2021 , Título Profesional de Licenciado en Física.  
 UNIVERSIDAD DE TRUJILLO, BIOLOGÍA MOLECULAR Y CELULAR GENÉTICA,  03/12/2021 , Título Profesional de Biólogo.  
 UNIVERSIDAD DE TRUJILLO, ESPECIALIDADES QUIRURGICAS,  03/12/2021 , Título Profesional de Médico Cirujano.  
 UNIVERSIDAD DE TRUJILLO, MEDICINA INTERNA,  03/12/2021 , Título Profesional de Médico Cirujano.  
 UNIVERSIDAD DE TRUJILLO, NEUROLOGÍA,  03/12/2021 , Título Profesional de Médico Cirujano.  
 UNIVERSIDAD DE TRUJILLO, SALUD PÚBLICA,  03/12/2021 , Título Profesional de Médico Cirujano.  
 UNIVERSIDAD DE TRUJILLO, SALUD PÚBLICA,  03/12/2021 , Título Profesional de Médico Cirujano.  
 UNIVERSIDAD DE TRUJILLO, EXPRESIÓN GRÁFICA Y COMUNICACIÓN,  03/12/2021 , Título Profesional de Arquitecto.  
 UNIVERSIDAD DE TRUJILLO, ESTRUCTURAS,  03/12/2021 , Título Profesional de Ingeniero Civil  
 UNIVERSIDAD DE TRUJILLO, INGENIERÍA Y TECNOLOGÍA - DISEÑO MECATRÓNICO DE SISTEMAS ENERGÉTICOS,  03/12/2021 , Título Profesional de Ingeniero Mecatrónico o Ingeniero Mecánico  
 UNIVERSIDAD DE TRUJILLO, INGENIERÍA Y TECNOLOGÍA,  03/12/2021 , Título Profesional de Ingeniero Geólogo o Ingeniero de Minas.  
 UNIVERSIDAD DE TRUJILLO," GERENCIA, FINANZAS Y PROYECTOS",  03/12/2021 , Título Profesional de Ingeniero Industrial  
 UNIVERSIDAD DE TRUJILLO, DIBUJO Y DISEÑO DE INGENIERÍA,  03/12/2021 , Título Profesional de Ingeniero Industrial  
 UNIVERSIDAD DE TRUJILLO, PROCESOS INDUSTRIALES Y AUTOMOTIZACIÓN,  03/12/2021 , Título Profesional de Ingeniero Industrial  
 UNIVERSIDAD DE TRUJILLO," PRODUCCIÓN, OPERACIONES Y LOGÍSTICA",  03/12/2021 , Título Profesional de Ingeniero Industrial  
 UNIVERSIDAD DE TRUJILLO," COSTOS INDUSTRIALES, GESTIÓN ESTRATÉGICA Y MARKETING",  03/12/2021 , Título Profesional de Ingeniero Industrial  
 UNIVERSIDAD DE TRUJILLO, ECONOMIA PÚBLICA,  03/12/2021 , Título Profesional de Economista.  
 UNIVERSIDAD DE TRUJILLO, DESARROLLO Y POLÍTICA ECONÓMICA,  03/12/2021 , Título Profesional de Economista.  
 UNIVERSIDAD DE TRUJILLO," SISTEMAS DE INFORMACION GERENCIAL Y EMPRENDIMIENTO, INNOVACION Y DESARROLLO",  03/12/2021 , Título Profesional de Licenciado en Administración  
 UNIVERSIDAD DE TRUJILLO, BIOQUÍMICA Y BROMATOLOGÍA,  03/12/2021 , Título Profesional de Biólogo o Biólogo Microbiólogo  
 UNIVERSIDAD DE TRUJILLO, EDUCACION SECUNDARIA – MENCION,  03/12/2021 ," Título Profesional de Licenciado en Educación Secundaria,"
 UNIVERSIDAD DE TRUJILLO, ARTE,  03/12/2021 ," Título Profesional de Licenciado en Educación Secundaria,"
 UNIVERSIDAD DE TRUJILLO, IDIOMAS EXTRANJEROS,  03/12/2021 ," Título Profesional de Licenciado en Educación Secundaria, mención"
